,Day,Sold
0,1,298
1,2,216
2,3,400
3,4,262
4,5,482
5,6,495
6,7,220
7,8,356
8,9,463
9,10,372
10,11,447
11,12,441
12,13,215
13,14,331
14,15,500
15,16,272
16,17,286
17,18,399
18,19,478
19,20,353
20,21,393
21,22,413
22,23,402
23,24,476
24,25,341
25,26,476
26,27,378
27,28,307
28,29,333
29,30,476
30,31,330
31,32,404
32,33,467
33,34,430
34,35,399
35,36,437
36,37,304
37,38,423
38,39,257
39,40,384
40,41,431
41,42,405
42,43,284
43,44,233
44,45,337
45,46,223
46,47,441
47,48,405
48,49,488
49,50,229
50,51,272
51,52,391
52,53,253
53,54,245
54,55,477
55,56,282
56,57,325
57,58,334
58,59,280
59,60,260
60,61,323
61,62,498
62,63,350
63,64,345
64,65,213
65,66,282
66,67,484
67,68,420
68,69,294
69,70,456
70,71,297
71,72,339
72,73,442
73,74,226
74,75,227
75,76,494
76,77,273
77,78,340
78,79,475
79,80,447
80,81,506
81,82,395
82,83,314
83,84,503
84,85,410
85,86,222
86,87,332
87,88,310
88,89,327
89,90,391
90,91,263
91,92,353
92,93,375
93,94,285
94,95,422
95,96,412
96,97,403
97,98,484
98,99,239
99,100,381
